MUNICIPIO,ID_IBGE,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,LAT_GOOGLE,LON_GOOGLE,LATITUDE,LONGITUDE
BRAGANCA PAULISTA,3507605,350760,GVE 17 CAMPINAS,HOSPITAL UNIVERSITÁRIO SÃO FRANCISCO,"AV. SÃO FRANCISCO DE ASSIS, 218",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(11) 2454-8681,-2.298.050.125.456.000,-4.653.364.891.779.850,-22.98050,-46.53364
BRAUNA,3507704,350770,GVE 11 ARACATUBA,UBS III DE BRAUNA,"RUA JOSÉ FERNANDES BRAZ, 302 - BRAÚNA - SP, 16290-000",0,,0,(18) 3692-1186,-21.501.393.547.320.000,-5.031.791.807.736.630,-21.50139,-50.31791
BREJO ALEGRE,3507753,350775,GVE 11 ARACATUBA,UBSF III TANCREDO NEVES BREJO ALEGRE,"RUA DAS PALMEIRAS, 600 - BREJO ALEGRE - SP, 16265-000
",0,,0,(18) 3646-1236,-21.166.473.859.881.200,-5.018.858.910.004.710,-21.16647,-50.18858
BRODOWSKI,3507803,350780,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA HOSPITALAR DR FAUSTINO DE CASTRO,"RUA ELIAS BARQUETE, 2 - JARDIM SÃO MANUEL, BRODOWSKI - SP, 14340-000",0,,1,(16) 3664-9199,-209.998.165.532.996,-4.766.255.140.436.600,-20.99981,-47.66255
BROTAS,3507902,350790,GVE 15 BAURU,HOSPITAL SANTA TEREZINHA,"AV. RUI BARBOSA, 703. CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO",1,(14)3653-9100,-22.286.225.423.534.500,-4.812.219.571.967.100,-22.28622,-48.12219
BURI,3508009,350800,GVE 32 ITAPEVA,PRONTO ATENDIMENTO MUNICIPAL ÍTALO SANTUCCI,"R. RUI BARBOSA, 158 - CENTRO",1,"ESCORPIÔNICO, ARACNÍDICO.",1,(15) 3546-1133,-23.752.183.650.979.400,-48.606.174.980.953.600,-23.75218,-48.60617
BURITAMA,3508108,350810,GVE 11 ARACATUBA,SANTA CASA DE MISERICÓRDIA SÃO FRANCISCO,"RUA GUILHERME GUERBAS, 353",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3691-9535,-2.106.939.088.769.170,-50.149.921.104.364.000,-21.06939,-50.14992
BURITIZAL,3508207,350820,GVE 18 FRANCA,CS LUIZ FIOD DE BURITIZAL,"RUA EDWARD SARRETA, 500 - BURITIZAL - SP, 14570-000",0,,0,-,-2.019.431.890.240.080,-47.706.079.892.747.300,-20.19431,-47.70607
CABRALIA PAULISTA,3508306,350830,GVE 15 BAURU,CENTRO DE SAUDE III CABRALIA PAULISTA,"AVENIDA MÁRIO AMARAL GURGEL, 660 - CENTRO, CABRÁLIA PAULISTA - SP, 17480-000",0,,0,(14) 3285-1151,-2.245.957.478.403.150,-49.335.598.719.665.700,-22.45957,-49.33559
CABREUVA,3508405,350840,GVE 17 CAMPINAS,SANTA CASA DE MISERICORDIA DE CABREUVA,"Praça Comendador Martins, S/N - Centro, Cabreúva - SP, 13315-000",0,,1,(11) 4528-1792,-233.088.597.097.625,-47.133.085.613.818.200,-23.30885,-47.13308
CACAPAVA,3508504,350850,GVE 27 SAO JOSE DOS CAMPOS,HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJUDA,"RUA DR. PEREIRA DE MATTOS, 63 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(12) 3654-8800,-23.104.153.117.973.100,-45.704.665.261.974.000,-23.10415,-45.70466
CACHOEIRA PAULISTA,3508603,350860,GVE 33 TAUBATE,SANTA CASA DE MISERICORDIA SAO JOSE,"R. Sete de Setembro, 122, Cachoeira Paulista - SP, 12630-000",0,,1,(12) 3103-3444,-22.665.242.174.432.400,-4.500.577.960.431.590,-22.66524,-45.00577
CACONDE,3508702,350870,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICÓRDIA,"R. PADRE DE ANGELIS, 39",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(19) 3662-1711,-21.532.449.818.898.700,-46.644.484.231.335.300,-21.53244,-46.64448
CAFELANDIA,3508801,350880,GVE 15 BAURU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAFELANDIA,"R. Justino Franco Júnior, 181 - Cafelândia, SP, 16500-000",0,,1,(14) 3554-1222,-21.811.990.137.094.000,-4.959.696.063.502.880,-21.81199,-49.59696
CAIABU,3508900,350890,GVE 21 PRESIDENTE PRUDENTE,UNIDADE BASICA DE SAUDE II CAIABU,"RUA MARIA CLÁUDIA PEDREIRA - CAIABU - SP, 19530-000",0,,0,(18) 3285-7004,-22.012.161.518.944.100,-5.123.573.646.015.690,-22.01216,-51.23573
CAIEIRAS,3509007,350900,GVE 9 FRANCO DA ROCHA,HOSPITAL ESTADUAL DE CAIEIRAS,"R. Flávio Augusto de Moraes, 100 - Centro, Caieiras - SP, 07700-600",0,,1,(11) 4445-9000,-2.336.652.984.946.940,-4.675.056.306.381.650,-23.36652,-46.75056
CAIUA,3509106,350910,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE III DE CAIUA,"RUA GUARANI, 260 - CAIUÁ - SP, 19450-000",0,,0,(18) 3278-1105,-21.833.226.865.223.700,-5.198.802.581.968.490,-21.83322,-51.98802
CAJAMAR,3509205,350920,GVE 9 FRANCO DA ROCHA,HOSPITAL ENFERMEIRO ANTONIO POLICARPO DE OLIVEIRA,"Av. Bento da Silva Bueno, 202 - Jardim Nova Cajamar, Cajamar - SP, 07793-665",0,,1,(11) 3135-5521,-23.411.601.132.046.200,-46.825.086.575.456.500,-23.41160,-46.82508
CAJATI,3509254,350925,GVE 23 REGISTRO,PRONTO ATENDIMENTO REYNALDO GUERRA,"RUA ANTÔNIO DOMINGOS BRECHÓ, 116 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",1,(13) 3854-8500,-2.472.213.854.974.110,-48.110.630.604.249.200,-24.72213,-48.11063
CAJOBI,3509304,350930,GVE 14 BARRETOS,HOSPITAL JOAO DEPIERI DE CAJOBI,"R. Adélio Rosa, 375 - Cajobi, SP, 15410-000",0,,1,(17) 3563-9999,-20.873.831.087.400.500,-4.880.934.094.669.790,-20.87383,-48.80934
CAJURU,3509403,350940,GVE 24 RIBEIRAO PRETO,CS II DR. HOFEZ ZACHARIAS BEHY - CAJURU,RUA CAPITÃO JOSÉ FERREIRA DINIZ,1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",1,(16) 3667-9947 / 99208-5450,-21.274.286.118.127.300,-4.730.583.832.565.270,-21.27428,-47.30583
CAMPINA DO MONTE ALEGRE,3509452,350945,GVE 31 SOROCABA,CS III CAMPINA DO MONTE ALEGRE CAMPINA DO MONTE ALEGRE,"RUA LAURINDA PÍA GOMES, 521 - VILA GOMES, CAMPINA DO MONTE ALEGRE - SP, 18245-000
",0,,1,(15) 3256-1338,-2.359.533.015.078.610,-4.848.005.001.777.890,-23.59533,-48.48005
CAMPINAS,3509502,350950,GVE 17 CAMPINAS,COMPLEXO HOSPITALAR. PREF. EDIVALDO ORSI,"AV. RUY RODRIGUES, 3434 – CH. SÃO JOSÉ",1,ESCORPIÔNICO,1,(19) 3772-8347 / 3772-8373,-2.296.287.801.295.450,-4.713.595.103.129.140,-22.96287,-47.13595
CAMPINAS,3509502,350950,GVE 17 CAMPINAS,HOSPITAL DAS CLÍNICAS DA UNICAMP – CCI,BARÃO GERALDO - CAMPINAS,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(19) 3521-6700 / 7555,-22.825.882.252.175.300,-4.706.356.778.896.750,-22.82588,-47.06356
CAMPO LIMPO PAULISTA,3509601,350960,GVE 17 CAMPINAS,HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA,"Avenida Alfried Krupp, 1200 - Jardim Europa, Campo Limpo Paulista - SP, 13232-020",0,,1,(11) 4039-1021,-23.208.927.888.478.800,-46.772.682.850.328.900,-23.20892,-46.77268
CAMPOS DO JORDAO,3509700,350970,GVE 33 TAUBATE,PRONTO ATENDIMENTO MUNICIPAL,"RUA HARRY MAURITZ LENIN, S/N - BAIRRO STA. CRUZ - CEP 12.460-000",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(12) 3664-4424 / (12) 3664-5292,-22.743.552.992.725.800,-4.562.512.640.431.350,-22.74355,-45.62512
CAMPOS NOVOS PAULISTAS,3509809,350980,GVE 19 MARILIA,CENTRO DE SAUDE TEREZINHA MARTINELLI,"RUA MARECHAL DEODORO DA FONSECA - CENTRO, CAMPOS NOVOS PAULISTA - SP, 19960-632",0,,1,(14) 3476-1107,-22.601.339.449.910.400,-5.000.321.110.661.750,-22.60133,-50.00321
CANANEIA,3509908,350990,GVE 23 REGISTRO,UNIDADE MISTA,"RUA LUIZ WILSON BARBOSA, 100 - RETIRO DAS CARAVELAS",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",1,(13) 3851-1419,-25.011.769.009.863.000,-4.792.773.691.958.300,-25.01176,-47.92773
CANAS,3509957,350995,GVE 33 TAUBATE,UBS CANAS,"AVENIDA 22 DE MARÇO, 369 - CANAS - SP, 12615-000",0,,0,-,-22.706.323.464.940.700,-45.057.411.269.154.100,-22.70632,-45.05741
CANDIDO MOTA,3510005,351000,GVE 13 ASSIS,SANTA CASA DE MISERICORDIA DE CANDIDO MOTA,"Rua Alberto Scudeller, 12 Parque Pref. Lorival José de Almeida, Cândido Mota - SP, 19880-000",0,,1,(18) 3341-9308,-2.274.255.452.855.810,-5.038.398.880.431.350,-22.74255,-50.38398
CANDIDO RODRIGUES,3510104,351010,GVE 12 ARARAQUARA,CENTRO DE SAUDE III CANDIDO RODRIGUES,"RUA BRASÍLIA, 250 - CÂNDIDO RODRIGUES - SP, 15930-000",0,,1,(16) 3257-1151,-21.323.135.947.797.100,-48.633.763.689.013.100,-21.32313,-48.63376
CANITAR,3510153,351015,GVE 13 ASSIS,CENTRO DE SAUDE DE CANITAR,"RUA VIRGÍLIO FURLANETO, 439 - CANITAR - SP, 18990-000",0,,0,(14) 3343-1282,-23.005.876.973.052.300,-4.978.408.901.964.870,-23.00587,-49.78408
CAPAO BONITO,3510203,351020,GVE 31 SOROCABA,SANTA CASA DE MISERICÓRDIA - CAPÃO BONITO,"RUA DONA ALTA DE CAMARGO LÍRIO , Nº51",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(15) 3542-1532 / 3543-9600,-24.007.205.459.758.100,-4.834.699.114.845.220,-24.00720,-48.34699
CAPELA DO ALTO,3510302,351030,GVE 31 SOROCABA,PRONTO ATENDIMENTO MUNICIPAL,"RUA SÃO FRANCISCO, 534 - PORTAL SÃO FRANCISCO II, CAPELA DO ALTO - SP, 18195-000",0,,1,(15)3267-1562,-23.467.367.884.948.800,-4.773.179.541.963.390,-23.46736,-47.73179
CAPIVARI,3510401,351040,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA,"PRAÇA DR. MÁRIO DIAS DE AGUIAR, 1, CENTRO",1,BOTRÓPICO E ESCORPIÔNICO.,1,(19) 3491-9191,-22.998.582.586.458.800,-4.749.292.974.848.470,-22.99858,-47.49292
CARAGUATATUBA,3510500,351050,GVE 28 CARAGUATATUBA,UPA DE CARAGUATATUBA,"AV. MARANHÃO, 451, JD. PRIMAVERA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",1,(12) 3897-2100,-2.362.362.984.585.250,-4.541.935.871.504.960,-23.62362,-45.41935
CARAPICUIBA,3510609,351060,GVE 10 OSASCO,HOSPITAL GERAL DE CARAPICUIBA,"R. da Pedreira, 95 - Parque Jose Alexandre, Carapicuíba - SP, 06321-665",0,,1,(11) 4185-7600,-2.353.386.007.694.140,-46.830.465.190.796.100,-23.53386,-46.83046
CARDOSO,3510708,351070,GVE 29 SAO JOSE DO RIO PRETO,IRMANDADE DA STA CASA LEONOR MENDES DE BARROS DE CARDOSO,"R. Emílio Fernandes Bilar, 1650 - Cardoso, SP, 15570-000",0,,1,(17) 3453-1059,-2.007.630.148.387.260,-4.991.844.199.160.880,-20.07630,-49.91844
CASA BRANCA,3510807,351080,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICORDIA DE CASA BRANCA,"Praça Dr. Carvalho, 204 - Centro, Casa Branca - SP, 13700-000",0,,1,(19) 3671-9100,-21.775.913.868.217.900,-4.708.557.771.968.660,-21.77591,-47.08557
CASSIA DOS COQUEIROS,3510906,351090,GVE 24 RIBEIRAO PRETO,CENTRO DE SAÚDE III PEDREIRA DE FREITAS,"AVENIDA DAS HORTÊNCIAS, 82-176 - CÁSSIA DOS COQUEIROS - SP, 14260-000",0,,1,(16) 3669-1147,-21.283.150.712.584.100,-4.717.236.970.353.710,-21.28315,-47.17236
CASTILHO,3511003,351100,GVE 11 ARACATUBA,HOSPITAL SOCIEDADE BENEFICENTE,"RUA NAGIB MUHANA ZAHR, 457",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3741-1580,-20.872.149.133.803.500,-5.148.709.230.436.960,-20.87214,-51.48709
CATANDUVA,3511102,351110,GVE 29 SAO JOSE DO RIO PRETO,HOSP. PADRE ALBINO,RUA BELÉM 519 CENTRO,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(17) 3311-3023 E (17) 3311-3000,-21.140.816.838.908.100,-4.897.579.273.134.680,-21.14081,-48.97579
CATIGUA,3511201,351120,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE BASICA DE SAUDE HELIO REIS RAMIRES,"AVN HOMERO ARAUJO, 196 - CENTRO, CATIGUA",0,,1,(17) 3564-1075,-21.050.202.020.831.200,-4.905.811.600.621.560,-21.05020,-49.05811
CEDRAL,3511300,351130,GVE 29 SAO JOSE DO RIO PRETO,UBSF DR BENITO MALZONE,"AVENIDA CEL. SILVÉRIO DA CUNHA LACERDA, 200-274 - CEDRAL - SP, 15895-000",0,,1,(17) 3266-9606,-20.900.776.177.637.200,-49.270.642.692.727.200,-20.90077,-49.27064
CERQUEIRA CESAR,3511409,351140,GVE 16 BOTUCATU,SANTA CASA DE MISERICORDIA DE CERQUEIRA CESAR,"R. Maj. Artur Esteves, 700 - Vila Angelica, Cerqueira César - SP, 18760-000",0,,1,(14) 3714-1711,-2.303.916.289.081.460,-49.161.889.163.826.900,-23.03916,-49.16188
CERQUILHO,3511508,351150,GVE 31 SOROCABA,SANTA CASA DE MISERICORDIA DE CERQUILHO,"R. Paulo Setúbal, 200 - Centro, Cerquilho - SP, 18520-000",0,,1,(15) 3384-8444,-2.317.138.631.198.100,-47.743.708.646.628.400,-23.17138,-47.74370
CESARIO LANGE,3511607,351160,GVE 31 SOROCABA,BENEFICENCIA HOSPITALAR DE CESARIO LANGE,"Av. São Paulo, 340 - Distrito Industrial Urbano, Cesário Lange - SP, 18285-000",0,,1,(15) 3246-1628,-23.219.747.003.945.300,-4.794.554.967.361.170,-23.21974,-47.94554
CHARQUEADA,3511706,351170,GVE 20 PIRACICABA,HOSPITAL E MATERNIDADE BENEFIENTE DE CHARQUEADA,"R. Osvaldo Cruz, 70 - São Benedito, Charqueada - SP, 13515-000",0,,1,(19) 3486-1296,-2.250.226.685.187.120,-47.780.542.735.007.800,-22.50226,-47.78054
CHAVANTES,3557204,355720,GVE 13 ASSIS,SANTA CASA DE MISERICORDIA DE CHAVANTES,"R. Maria Ferreira, 22 - Centro, Chavantes - SP, 18970-000",0,,1,(14) 3342-1866,-23.035.240.998.568.800,-4.971.131.267.917.040,-23.03524,-49.71131
CLEMENTINA,3511904,351190,GVE 11 ARACATUBA,ASSOCIAÇÃO HOSPITALAR DE CLEMENTINA (24 HS),"RUA FRANCISCO VASQUEZ, Nº 01 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",1,(18) 3658-1172,-21.556.687.647.491.800,-50.447.434.390.857.200,-21.55668,-50.44743
COLINA,3512001,351200,GVE 14 BARRETOS,PRONTO ATENDIMENTO MUNICIPAL,PRAÇA LAMOUNIER DE ANDRADE S/N,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(17) 3341-4353,-20.707.038.442.418.700,-4.853.182.537.735.690,-20.70703,-48.53182
COLOMBIA,3512100,351210,GVE 14 BARRETOS,HOSPITAL MUNICIPAL JÚLIO R DE PAULA,RUA ANTONIO PRADO Nº 807,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",1,(17) 3335-1116 / 3335-8787,-2.017.428.648.416.710,-4.868.894.413.904.600,-20.17428,-48.68894
CONCHAL,3512209,351220,GVE 20 PIRACICABA,HOSPITAL E MATERNIDADE MADRE VANNINI,"R. das Angélicas, 730 - Centro, Conchal - SP, 13835-000",0,,1,(19) 3866-8585,-223.379.211.001.249,-4.717.398.534.850.540,-22.33792,-47.17398
CONCHAS,3512308,351230,GVE 16 BOTUCATU,HOSPITAL MUNICIPAL DE CONCHAS,"R. ALEXANDRE JOSÉ, 87, CENTRO",1,ESCORPIÔNICO,1,(14) 3845-8400,-23.017.866.391.137.800,-4.801.142.987.546.900,-23.01786,-48.01142
CORDEIROPOLIS,3512407,351240,GVE 20 PIRACICABA,UNIDADE DE PRONTO ATENDIMENTO MUNICIPAL DR LUIZ CARDINALLI,"AVENIDA PRESIDENTE VARGAS, 314 - CENTRO, CORDEIRÓPOLIS - SP, 13490-000",0,,1,(19) 3546-9599,-22.479.983.418.057.000,-4.745.847.313.315.750,-22.47998,-47.45847
COROADOS,3512506,351250,GVE 11 ARACATUBA,UBSF COROADOS,"RUA CARLOS DE CAMPOS, 55 - COROADOS - SP, 16260-000",0,,0,(18) 3645-1233,-2.135.535.895.231.630,-5.028.546.170.250.470,-21.35535,-50.28546
CORONEL MACEDO,3512605,351260,GVE 16 BOTUCATU,UNIDADE MISTA DE SAUDE DE CORONEL MACEDO,"AVENIDA PRESIDENTE CASTELO BRANCO, 240- CENTRO, COROBEL MACEDO",0,,0,(14) 3767-7101,-23.632.968.698.255.600,-4.931.878.083.497.200,-23.63296,-49.31878
CORUMBATAI,3512704,351270,GVE 20 PIRACICABA,CENTRO SAUDE II ANTENOR CHIOSSI CORUMBATAI,"AVENIDA TRES, 321 - CENTRO, CORUMBATAI",0,,0,(19) 3577-1376,-2.222.213.786.449.790,-47.626.257.462.001.400,-22.22213,-47.62625
COSMOPOLIS,3512803,351280,GVE 17 CAMPINAS,SANTA CASA DE MISERICORDIA REGIONAL,"Rua Francisco de Mário, 777 - Centro, Cosmópolis - SP, 13150-192",0,,1,(19) 3812-8300,-22.649.620.440.631.300,-4.719.698.074.849.560,-22.64962,-47.19698
COSMORAMA,3512902,351290,GVE 29 SAO JOSE DO RIO PRETO,CS DE COSMORAMA,"PRAÇA ANTÔNIO CANDIDO BORGES, 733 - COSMORAMA - SP, 15530-000",0,,1,(17) 3836-9210,-20.478.212.621.944.400,-4.977.618.613.136.570,-20.47821,-49.77618
COTIA,3513009,351300,GVE 10 OSASCO,HOSPITAL REGIONAL DE COTIA,"AV. ODAIR PACHECO PEDROSO, Nº 171",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO",1,(11) 4148-2222 / 4148-4527,-2.360.906.120.136.370,-46.920.471.406.136.900,-23.60906,-46.92047
CRAVINHOS,3513108,351310,GVE 24 RIBEIRAO PRETO,PRONTO SOCORRO MUNICIPAL DE CRAVINHOS,"AV. DONA RITA CANDIDA NOGUEIRA, 48, CENTRO",1,ESCORPIÔNICO,1,(16) 3951-9020,-2.133.646.825.015.010,-4.773.217.967.366.930,-21.33646,-47.73217
CRISTAIS PAULISTA,3513207,351320,GVE 18 FRANCA,CS II,"AVENIDA MIGUEL SÁBIO DE MELO, 2770",0,,0,(16) 3133-1624,-2.040.292.843.709.340,-4.741.766.119.190.270,-20.40292,-47.41766
CRUZALIA,3513306,351330,GVE 13 ASSIS,CENTRO DE SAUDE DE CRUZALIA,"RUA JOSÉ SOARES CASSIANO, 820 - CRUZÁLIA - SP, 19860-114",0,,0,(18) 3376-1315,-22.744.131.601.104.600,-5.078.793.766.965.700,-22.74413,-50.78793
CRUZEIRO,3513405,351340,GVE 33 TAUBATE,SANTA CASA DE MISERICÓRDIA,AV. MAJOR NOVAES 715 - CEP 12.701-330,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(12) 3184-7001,-2.257.500.066.999.600,-4.496.438.557.548.300,-22.57500,-44.96438
CUBATAO,3513504,351350,GVE 25 SANTOS,P.S. CENTRAL GUIOMAR FERREIRA ROEBBELEN - CUBATÃO,AV. 9 DE ABRIL S/Nº,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",1,(13) 3361-8786,-2.389.033.160.628.080,-4.642.022.439.529.020,-23.89033,-46.42022
CUNHA,3513603,351360,GVE 33 TAUBATE,SANTA CASA MATERNIDADE N.S. CONCEIÇÃO,AV. PADRE RODOLFO 320 ALTO DO CRUZEIRO - CEP 12.530-000,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(12) 3111-2926 / (12) 3111-2833,-23.079.502.227.428.300,-4.496.129.771.779.540,-23.07950,-44.96129
DESCALVADO,3513702,351370,GVE 12 ARARAQUARA,IRMANDADE DA SANTA CASA DE MISERICORDIA DE DESCALVADO,"Pc Dr Otávio Gabrielli, 827 - Centro, Descalvado - SP, 13690-000",0,,1,(19) 3583-1133,-21.906.589.989.003.900,-47.616.092.573.652.300,-21.90658,-47.61609
DIADEMA,3513801,351380,GVE 7 SANTO ANDRE,HOSPITAL MUNICIPAL DE DIADEMA,"Av. Piraporinha, 1682 - Piraporinha, Diadema - SP, 09951-310",0,,1,(11) 4061-7000,-23.691.712.984.928.300,-4.658.716.030.428.340,-23.69171,-46.58716
DIRCE REIS,3513850,351385,GVE 30 JALES,UBS VEREADOR ARI FERREIRA DA SILVA,"RUA CATULO DA PAIXÃO CEARENSE - CENTRO, DIRCE REIS - SP, 15715-017",0,,1,(17) 3694-1164,-20.466.318.942.615.600,-5.060.823.130.438.110,-20.46631,-50.60823
DIVINOLANDIA,3513900,351390,GVE 26 SAO JOAO DA BOA VISTA,HOSPITAL REGIONAL DE DIVINOLANDIA,"R. Leonor Mendes de Barros, 626 - Centro, Divinolândia - SP, 13780-000",0,,1,(19) 3663-8000,-2.166.809.901.442.390,-4.674.258.141.968.970,-21.66809,-46.74258
DOBRADA,3514007,351400,GVE 12 ARARAQUARA,CENTRO DE SAUDE III DOBRADA,"RUA JOAO BERTONHA, 15- PORTAL DO SOL, DOBRADA",0,,1,(16) 3386-9001,-21.518.369.216.605.000,-4.839.230.774.667.920,-21.51836,-48.39230
DOIS CORREGOS,3514106,351410,GVE 15 BAURU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE DOIS CORREGOS,"Av. Dr. Joaquim Roberto de Carvalho Pinto, 896 - Centro, Dois Córregos - SP, 17300-000",0,,1,(14) 3652-9933,-22.362.139.203.647.900,-4.838.143.937.548.950,-22.36213,-48.38143
DOLCINOPOLIS,3514205,351420,GVE 30 JALES,CS DE DOLCINOPOLIS,"AVENIDA OSVALDO DOLCI, 1206 - DOLCINÓPOLIS - SP, 15740-000",0,,0,(17) 3636-1416,-20.122.880.203.140.900,-5.051.087.084.857.010,-20.12288,-50.51087
DOURADO,3514304,351430,GVE 12 ARARAQUARA,HOSPITAL E MATERNIDADE PUBLICO DE DOURADO,"R. Barão do Rio Branco, 327 - CENTRO, Dourado - SP, 13590-000",0,,1,(16) 3345-1505,-22.117.933.561.553.900,-4.831.913.915.036.290,-22.11793,-48.31913
DRACENA,3514403,351440,GVE 22 PRESIDENTE VENCESLAU,SANTA CASA DE MISERICÓRDIA,"RUA VIRGÍLIO PAGNOZZI, 822",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",1,(18) 3821-8466,-2.147.843.663.994.890,-51.537.182.958.321.800,-21.47843,-51.53718
DUARTINA,3514502,351450,GVE 15 BAURU,HOSPITAL SANTA LUZIA DE DUARTINA,"RUA DR. GIL BORGES, Nº 226",1,ESCORPIÔNICO,1,(14) 3282-8230,-22.414.558.159.731.500,-4.941.619.724.665.200,-22.41455,-49.41619
DUMONT,3514601,351460,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA DE SAUDE DE DUMONT,"RUA SÃO PEDRO, 276 - DUMONT - SP, 14120-000",0,,1,(16) 3944-9200,-21.240.944.081.119.100,-47.979.651.392.717.400,-21.24094,-47.97965
ECHAPORA,3514700,351470,GVE 19 MARILIA,PRONTO ATENDIMENTO IRMA INES TOTARO,"AVN PARAGUACU, 130 - CENTRA, ECHAPORA",0,,1,(18) 356-1684,-22.426.208.278.859.900,-5.020.652.513.501.010,-22.42620,-50.20652
ELDORADO,3514809,351480,GVE 23 REGISTRO,PRONTO ATENDIMENTO,"PRAÇA ENGENHEIRO BAUER, 56 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",1,(13) 3871-1599,-23.717.493.947.972.700,-46.624.017.533.118.400,-23.71749,-46.62401
ELIAS FAUSTO,3514908,351490,GVE 20 PIRACICABA,UNIDADE MISTA DE SAÚDE,"RUA SILVIO DA SILVEIRA MORATO - CARDEAL, ELIAS FAUSTO - SP, 13350-000",0,,0,(19) 3821-1534,-2.305.871.281.093.180,-4.730.401.560.498.970,-23.05871,-47.30401
ELISIARIO,3514924,351492,GVE 29 SAO JOSE DO RIO PRETO,CS DE ELISIARIO,"AVENIDA DILMO RODRIGUES, 30 - ELISIÁRIO - SP, 15823-000",0,,0,(17) 3529-1207,-2.117.199.078.775.880,-4.910.846.167.922.700,-21.17199,-49.10846
EMBAUBA,3514957,351495,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE BASICA DE SAUDE DE EMBAUBA,"RUA BALBINO RODRIGUES COELHO, 374 - EMBAÚBA - SP, 15425-000",0,,1,(17) 3566-1211,-20.981.428.731.253.000,-4.883.707.050.621.750,-20.98142,-48.83707
EMBU DAS ARTES,3515004,351500,GVE 10 OSASCO,PRONTO SOCORRO MUNICIPAL - EMBU DAS ARTES,"AV. ELIAS YASBECK, Nº 1415, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO",1,(11) 4785-0151,-23.618.918.755.326.600,-46.842.762.586.074.600,-23.61891,-46.84276
EMBU GUACU,3515103,351510,GVE 10 OSASCO,UNIDADE MISTA DE SAÚDE,"RUA CELESTINO APA, Nº 50",1,"BOTRÓPICO, CROTÁLICO E ARACNÍDICO.",1,(11) 4661-1884,-23.838.136.575.172.400,-4.681.127.630.242.770,-23.83813,-46.81127
EMILIANOPOLIS,3515129,351512,GVE 21 PRESIDENTE PRUDENTE,UNIDADE BASICA DE SAUDE DA SAUDE DA FAMILIA DE EMILIANOPOLIS,"RUA JUCÁ DIAS, 127 - CENTRO, EMILIANÓPOLIS - SP, 19350-000",0,,0,(18) 3994-1151,-21.834.891.912.880.600,-51.483.769.974.349.300,-21.83489,-51.48376
