Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
PRONTO ATENDIMENTO REYNALDO GUERRA,GVE 23 REGISTRO,CAJATI,"RUA ANTÔNIO DOMINGOS BRECHÓ, 116 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3854-8500,-24.72213854974114,-48.110630604249216,1
HOSPITAL JOAO DEPIERI DE CAJOBI,GVE 14 BARRETOS,CAJOBI,"R. Adélio Rosa, 375 - Cajobi, SP, 15410-000",0,,(17) 3563-9999,-20.873831087400532,-48.80934094669796,1
CS II DR. HOFEZ ZACHARIAS BEHY - CAJURU,GVE 24 RIBEIRAO PRETO,CAJURU,RUA CAPITÃO JOSÉ FERREIRA DINIZ,1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(16) 3667-9947 / 99208-5450,-21.274286118127353,-47.30583832565279,1
CS III CAMPINA DO MONTE ALEGRE CAMPINA DO MONTE ALEGRE,GVE 31 SOROCABA,CAMPINA DO MONTE ALEGRE,"RUA LAURINDA PÍA GOMES, 521 - VILA GOMES, CAMPINA DO MONTE ALEGRE - SP, 18245-000
",0,,1532561338,-23.59533015078613,-48.48005001777893,1
COMPLEXO HOSPITALAR. PREF. EDIVALDO ORSI,GVE 17 CAMPINAS,CAMPINAS,"AV. RUY RODRIGUES, 3434 – CH. SÃO JOSÉ",1,ESCORPIÔNICO,(19) 3772-8347 / 3772-8373,-22.96287801295453, -47.13595103129149,1
HOSPITAL DAS CLÍNICAS DA UNICAMP – CCI,GVE 17 CAMPINAS,CAMPINAS,BARÃO GERALDO - CAMPINAS,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3521-6700 / 7555,-22.825882252175347, -47.06356778896758,1
HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA,GVE 17 CAMPINAS,CAMPO LIMPO PAULISTA,"Avenida Alfried Krupp, 1200 - Jardim Europa, Campo Limpo Paulista - SP, 13232-020",0,,(11) 4039-1021,-23.208927888478804, -46.772682850328984,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 33 TAUBATE,CAMPOS DO JORDAO,"RUA HARRY MAURITZ LENIN, S/N - BAIRRO STA. CRUZ - CEP 12.460-000",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3664-4424 / (12) 3664-5292,-22.743552992725803,-45.62512640431355,1
CENTRO DE SAUDE TEREZINHA MARTINELLI,GVE 19 MARILIA,CAMPOS NOVOS PAULISTAS,"RUA MARECHAL DEODORO DA FONSECA - CENTRO, CAMPOS NOVOS PAULISTA - SP, 19960-632",0,,1434761107,-22.601339449910448,-50.00321110661757,1
UNIDADE MISTA,GVE 23 REGISTRO,CANANEIA,"RUA LUIZ WILSON BARBOSA, 100 - RETIRO DAS CARAVELAS",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3851-1419,-25.011769009863073, -47.92773691958306,1
UBS CANAS,GVE 33 TAUBATE,CANAS,"AVENIDA 22 DE MARÇO, 369 - CANAS - SP, 12615-000",0,,-,-22.706323464940763,-45.057411269154116,0
SANTA CASA DE MISERICORDIA DE CANDIDO MOTA,GVE 13 ASSIS,CANDIDO MOTA,"Rua Alberto Scudeller, 12 Parque Pref. Lorival José de Almeida, Cândido Mota - SP, 19880-000",0,,(18) 3341-9308,-22.74255452855816,-50.38398880431353,1
CENTRO DE SAUDE III CANDIDO RODRIGUES,GVE 12 ARARAQUARA,CANDIDO RODRIGUES,"RUA BRASÍLIA, 250 - CÂNDIDO RODRIGUES - SP, 15930-000",0,,1632571151,-21.323135947797144,-48.633763689013115,1
CENTRO DE SAUDE DE CANITAR,GVE 13 ASSIS,CANITAR,"RUA VIRGÍLIO FURLANETO, 439 - CANITAR - SP, 18990-000",0,,1433431282,-23.005876973052303,-49.78408901964878,0
SANTA CASA DE MISERICÓRDIA - CAPÃO BONITO,GVE 31 SOROCABA,CAPAO BONITO,"RUA DONA ALTA DE CAMARGO LÍRIO , Nº51",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(15) 3542-1532 / 3543-9600,-24.007205459758122,-48.34699114845228,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 31 SOROCABA,CAPELA DO ALTO,"RUA SÃO FRANCISCO, 534 - PORTAL SÃO FRANCISCO II, CAPELA DO ALTO - SP, 18195-000",0,,(15)3267-1562,-23.467367884948818,-47.73179541963395,1
SANTA CASA DE MISERICÓRDIA,GVE 20 PIRACICABA,CAPIVARI,"PRAÇA DR. MÁRIO DIAS DE AGUIAR, 1, CENTRO",1,BOTRÓPICO E ESCORPIÔNICO.,(19) 3491-9191,-22.998582586458813,-47.49292974848474,1
UPA DE CARAGUATATUBA,GVE 28 CARAGUATATUBA,CARAGUATATUBA,"AV. MARANHÃO, 451, JD. PRIMAVERA",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(12) 3897-2100,-23.62362984585253,-45.41935871504964,1
HOSPITAL GERAL DE CARAPICUIBA,GVE 10 OSASCO,CARAPICUIBA,"R. da Pedreira, 95 - Parque Jose Alexandre, Carapicuíba - SP, 06321-665",0,,(11) 4185-7600,-23.53386007694148, -46.830465190796104,1
IRMANDADE DA STA CASA LEONOR MENDES DE BARROS DE CARDOSO,GVE 29 SAO JOSE DO RIO PRETO,CARDOSO,"R. Emílio Fernandes Bilar, 1650 - Cardoso, SP, 15570-000",0,,(17) 3453-1059,-20.07630148387261, -49.91844199160881,1
SANTA CASA DE MISERICORDIA DE CASA BRANCA,GVE 26 SAO JOAO DA BOA VISTA,CASA BRANCA,"Praça Dr. Carvalho, 204 - Centro, Casa Branca - SP, 13700-000",0,,(19) 3671-9100,-21.775913868217962,-47.08557771968666,1
CENTRO DE SAÚDE III PEDREIRA DE FREITAS,GVE 24 RIBEIRAO PRETO,CASSIA DOS COQUEIROS,"AVENIDA DAS HORTÊNCIAS, 82-176 - CÁSSIA DOS COQUEIROS - SP, 14260-000",0,,1636691147,-21.283150712584177,-47.17236970353715,1
HOSPITAL SOCIEDADE BENEFICENTE,GVE 11 ARACATUBA,CASTILHO,"RUA NAGIB MUHANA ZAHR, 457",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3741-1580,-20.872149133803582,-51.48709230436967,1
HOSP. PADRE ALBINO,GVE 29 SAO JOSE DO RIO PRETO,CATANDUVA,RUA BELÉM 519 CENTRO,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3311-3023 E (17) 3311-3000,-21.140816838908183,-48.97579273134685,1
UNIDADE BASICA DE SAUDE HELIO REIS RAMIRES,GVE 29 SAO JOSE DO RIO PRETO,CATIGUA,"AVN HOMERO ARAUJO, 196 - CENTRO, CATIGUA",0,,1735641075,-21.050202020831254, -49.05811600621561,1
UBSF DR BENITO MALZONE,GVE 29 SAO JOSE DO RIO PRETO,CEDRAL,"AVENIDA CEL. SILVÉRIO DA CUNHA LACERDA, 200-274 - CEDRAL - SP, 15895-000",0,,1732669606,-20.900776177637272,-49.270642692727264,1
SANTA CASA DE MISERICORDIA DE CERQUEIRA CESAR,GVE 16 BOTUCATU,CERQUEIRA CESAR,"R. Maj. Artur Esteves, 700 - Vila Angelica, Cerqueira César - SP, 18760-000",0,,(14) 3714-1711,-23.03916289081465,-49.161889163826935,1
SANTA CASA DE MISERICORDIA DE CERQUILHO,GVE 31 SOROCABA,CERQUILHO,"R. Paulo Setúbal, 200 - Centro, Cerquilho - SP, 18520-000",0,,(15) 3384-8444,-23.17138631198106,-47.743708646628434,1
BENEFICENCIA HOSPITALAR DE CESARIO LANGE,GVE 31 SOROCABA,CESARIO LANGE,"Av. São Paulo, 340 - Distrito Industrial Urbano, Cesário Lange - SP, 18285-000",0,,(15) 3246-1628,-23.219747003945386, -47.94554967361179,1
HOSPITAL E MATERNIDADE BENEFIENTE DE CHARQUEADA,GVE 20 PIRACICABA,CHARQUEADA,"R. Osvaldo Cruz, 70 - São Benedito, Charqueada - SP, 13515-000",0,,(19) 3486-1296,-22.50226685187122, -47.780542735007835,1
SANTA CASA DE MISERICORDIA DE CHAVANTES,GVE 13 ASSIS,CHAVANTES,"R. Maria Ferreira, 22 - Centro, Chavantes - SP, 18970-000",0,,(14) 3342-1866,-23.035240998568817,-49.71131267917042,1
ASSOCIAÇÃO HOSPITALAR DE CLEMENTINA (24 HS),GVE 11 ARACATUBA,CLEMENTINA,"RUA FRANCISCO VASQUEZ, Nº 01 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3658-1172,-21.556687647491838, -50.447434390857225,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 14 BARRETOS,COLINA,PRAÇA LAMOUNIER DE ANDRADE S/N,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3341-4353,-20.707038442418746,-48.53182537735691,1
HOSPITAL MUNICIPAL JÚLIO R DE PAULA,GVE 14 BARRETOS,COLOMBIA,RUA ANTONIO PRADO Nº 807,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3335-1116 / 3335-8787,-20.17428648416713,-48.68894413904606,1
HOSPITAL E MATERNIDADE MADRE VANNINI,GVE 20 PIRACICABA,CONCHAL,"R. das Angélicas, 730 - Centro, Conchal - SP, 13835-000",0,,(19) 3866-8585,-22.3379211001249, -47.17398534850541,1
HOSPITAL MUNICIPAL DE CONCHAS,GVE 16 BOTUCATU,CONCHAS,"R. ALEXANDRE JOSÉ, 87, CENTRO",1,ESCORPIÔNICO,(14) 3845-8400,-23.017866391137886,-48.01142987546907,1
UNIDADE DE PRONTO ATENDIMENTO MUNICIPAL DR LUIZ CARDINALLI,GVE 20 PIRACICABA,CORDEIROPOLIS,"AVENIDA PRESIDENTE VARGAS, 314 - CENTRO, CORDEIRÓPOLIS - SP, 13490-000",0,,1935469599,-22.479983418057028,-47.45847313315755,1
UBSF COROADOS,GVE 11 ARACATUBA,COROADOS,"RUA CARLOS DE CAMPOS, 55 - COROADOS - SP, 16260-000",0,,1836451233,-21.35535895231635,-50.28546170250471,0
UNIDADE MISTA DE SAUDE DE CORONEL MACEDO,GVE 16 BOTUCATU,CORONEL MACEDO,"AVENIDA PRESIDENTE CASTELO BRANCO, 240- CENTRO, COROBEL MACEDO",0,,1437677101,-23.632968698255617,-49.31878083497202,0
CENTRO SAUDE II ANTENOR CHIOSSI CORUMBATAI,GVE 20 PIRACICABA,CORUMBATAI,"AVENIDA TRES, 321 - CENTRO, CORUMBATAI",0,,1935771376,-22.22213786449791,-47.626257462001405,0
SANTA CASA DE MISERICORDIA REGIONAL,GVE 17 CAMPINAS,COSMOPOLIS,"Rua Francisco de Mário, 777 - Centro, Cosmópolis - SP, 13150-192",0,,(19) 3812-8300,-22.649620440631374,-47.19698074849564,1
CS DE COSMORAMA,GVE 29 SAO JOSE DO RIO PRETO,COSMORAMA,"PRAÇA ANTÔNIO CANDIDO BORGES, 733 - COSMORAMA - SP, 15530-000",0,,1738369210,-20.478212621944405,-49.77618613136575,1
HOSPITAL REGIONAL DE COTIA,GVE 10 OSASCO,COTIA,"AV. ODAIR PACHECO PEDROSO, Nº 171",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO",(11) 4148-2222 E 4148-4527,-23.60906120136375,-46.920471406136954,1
PRONTO SOCORRO MUNICIPAL DE CRAVINHOS,GVE 24 RIBEIRAO PRETO,CRAVINHOS,"AV. DONA RITA CANDIDA NOGUEIRA, 48, CENTRO",1,ESCORPIÔNICO,(16) 3951-9020,-21.33646825015014,-47.73217967366936,1
CS II,GVE 18 FRANCA,CRISTAIS PAULISTA,"AVENIDA MIGUEL SÁBIO DE MELO, 2770",0,,1631331624,-20.40292843709348, -47.41766119190277,0
CENTRO DE SAUDE DE CRUZALIA,GVE 13 ASSIS,CRUZALIA,"RUA JOSÉ SOARES CASSIANO, 820 - CRUZÁLIA - SP, 19860-114",0,,1833761315,-22.744131601104627, -50.78793766965702,0
SANTA CASA DE MISERICÓRDIA,GVE 33 TAUBATE,CRUZEIRO,AV. MAJOR NOVAES 715 - CEP 12.701-330,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3184-7001,-22.57500066999609,-44.96438557548301,1
P.S. CENTRAL GUIOMAR FERREIRA ROEBBELEN - CUBATÃO,GVE 25 SANTOS,CUBATAO,AV. 9 DE ABRIL S/Nº,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3361-8786,-23.89033160628083,-46.42022439529029,1
SANTA CASA MATERNIDADE N.S. CONCEIÇÃO,GVE 33 TAUBATE,CUNHA,AV. PADRE RODOLFO 320 ALTO DO CRUZEIRO - CEP 12.530-000,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3111-2926 / (12) 3111-2833,-23.079502227428392, -44.96129771779544,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE DESCALVADO,GVE 12 ARARAQUARA,DESCALVADO,"Pc Dr Otávio Gabrielli, 827 - Centro, Descalvado - SP, 13690-000",0,,(19) 3583-1133,-21.906589989003994, -47.616092573652345,1
HOSPITAL MUNICIPAL DE DIADEMA,GVE 7 SANTO ANDRE,DIADEMA,"Av. Piraporinha, 1682 - Piraporinha, Diadema - SP, 09951-310",0,,(11) 4061-7000,-23.691712984928376,-46.58716030428344,1
UBS VEREADOR ARI FERREIRA DA SILVA,GVE 30 JALES,DIRCE REIS,"RUA CATULO DA PAIXÃO CEARENSE - CENTRO, DIRCE REIS - SP, 15715-017",0,,1736941164,-20.466318942615693,-50.60823130438114,1
HOSPITAL REGIONAL DE DIVINOLANDIA,GVE 26 SAO JOAO DA BOA VISTA,DIVINOLANDIA,"R. Leonor Mendes de Barros, 626 - Centro, Divinolândia - SP, 13780-000",0,,(19) 3663-8000,-21.66809901442392,-46.74258141968977,1
CENTRO DE SAUDE III DOBRADA,GVE 12 ARARAQUARA,DOBRADA,"RUA JOAO BERTONHA, 15- PORTAL DO SOL, DOBRADA",0,,1633869001,-21.518369216605034,-48.39230774667921,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE DOIS CORREGOS,GVE 15 BAURU,DOIS CORREGOS,"Av. Dr. Joaquim Roberto de Carvalho Pinto, 896 - Centro, Dois Córregos - SP, 17300-000",0,,(14) 3652-9933,-22.362139203647985,-48.38143937548957,1
CS DE DOLCINOPOLIS,GVE 30 JALES,DOLCINOPOLIS,"AVENIDA OSVALDO DOLCI, 1206 - DOLCINÓPOLIS - SP, 15740-000",0,,1736361416,-20.122880203140916,-50.51087084857014,0
HOSPITAL E MATERNIDADE PUBLICO DE DOURADO,GVE 12 ARARAQUARA,DOURADO,"R. Barão do Rio Branco, 327 - CENTRO, Dourado - SP, 13590-000",0,,(16) 3345-1505,-22.117933561553993,-48.31913915036298,1
SANTA CASA DE MISERICÓRDIA,GVE 22 PRESIDENTE VENCESLAU,DRACENA,"RUA VIRGÍLIO PAGNOZZI, 822",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3821-8466,-21.47843663994899, -51.537182958321864,1
HOSPITAL SANTA LUZIA DE DUARTINA,GVE 15 BAURU,DUARTINA,"RUA DR. GIL BORGES, Nº 226",1,ESCORPIÔNICO,(14) 3282-8230,-22.414558159731513, -49.41619724665204,1
UNIDADE MISTA DE SAUDE DE DUMONT,GVE 24 RIBEIRAO PRETO,DUMONT,"RUA SÃO PEDRO, 276 - DUMONT - SP, 14120-000",0,,1639449200,-21.240944081119125,-47.979651392717486,1
PRONTO ATENDIMENTO IRMA INES TOTARO,GVE 19 MARILIA,ECHAPORA,"AVN PARAGUACU, 130 - CENTRA, ECHAPORA",0,,183561684,-22.426208278859992,-50.20652513501016,1
PRONTO ATENDIMENTO,GVE 23 REGISTRO,ELDORADO,"PRAÇA ENGENHEIRO BAUER, 56 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3871-1599,-23.717493947972795,-46.624017533118455,1
UNIDADE MISTA DE SAÚDE,GVE 20 PIRACICABA,ELIAS FAUSTO,"RUA SILVIO DA SILVEIRA MORATO - CARDEAL, ELIAS FAUSTO - SP, 13350-000",0,,1938211534,-23.05871281093183,-47.30401560498975,0
CS DE ELISIARIO,GVE 29 SAO JOSE DO RIO PRETO,ELISIARIO,"AVENIDA DILMO RODRIGUES, 30 - ELISIÁRIO - SP, 15823-000",0,,1735291207,-21.17199078775887,-49.10846167922708,0
UNIDADE BASICA DE SAUDE DE EMBAUBA,GVE 29 SAO JOSE DO RIO PRETO,EMBAUBA,"RUA BALBINO RODRIGUES COELHO, 374 - EMBAÚBA - SP, 15425-000",0,,1735661211,-20.981428731253075,-48.83707050621751,1
PRONTO SOCORRO MUNICIPAL - EMBU DAS ARTES,GVE 10 OSASCO,EMBU DAS ARTES,"AV. ELIAS YASBECK, Nº 1415, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO",(11) 4785-0151,-23.618918755326604,-46.842762586074635,1
UNIDADE MISTA DE SAÚDE,GVE 10 OSASCO,EMBU-GUACU,"RUA CELESTINO APA, Nº 50",1,"BOTRÓPICO, CROTÁLICO E ARACNÍDICO.",(11) 4661-1884,-23.838136575172427,-46.81127630242779,1
UNIDADE BASICA DE SAUDE DA SAUDE DA FAMILIA DE EMILIANOPOLIS,GVE 21 PRESIDENTE PRUDENTE,EMILIANOPOLIS,"RUA JUCÁ DIAS, 127 - CENTRO, EMILIANÓPOLIS - SP, 19350-000",0,,1839941151,-21.834891912880657,-51.483769974349315,0
UBS DR LUCYEN ALVES DA COSTA ENGENHEIRO COELHO,GVE 20 PIRACICABA,ENGENHEIRO COELHO," RUA DELCY REIS GRELLMANN, S/N- CIDADE UNIVERSITARIA, ENGENHEIRO COELHO",0,,1938581203,-22.48946139892436,-47.16397013315734,0
PRONTO ATENDIMENTO DR. CIRO CORSI,GVE 26 SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,"R. TEIXEIRA RIOS, 210",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3651-7373,-21.983509478289236,-46.77865473154035,1
EQUIPE DE ATENCAO BASICA EAP,GVE 13 ASSIS,ESPIRITO SANTO DO TURVO,"RUA MARIA PERPÉTUA PIEDADE GONÇALVES, 114 - ESPÍRITO SANTO DO TURVO - SP, 18935-021",0,,1433759501,-22.691098695414787,-49.42952431965865,0
PRONTO SOCORRO,GVE 26 SAO JOAO DA BOA VISTA,ESTIVA GERBI,"AVENIDA ANGELO ZANCO, 637-741 - ESTIVA GERBI - SP, 13857-000",0,,1938689399,-22.27565347955654,-46.9517841732763,1
IRMANDADE DA SANTA CASA MISERICORDIA DE ESTRELA D'OESTE,GVE 30 JALES,ESTRELA D'OSTE,"Av. São Paulo, 1207, Estrela d'Oeste - SP, 15650-000",0,,(17) 3833-1450,-20.2882630433512, -50.39708559274469,1
UNIDADE BASICA DE SAUDE II ESTRELA DO NORTE,GVE 21 PRESIDENTE PRUDENTE,ESTRELA DO NORTE,"RUA JOÃO MARINHO, 72 - CENTRO, ESTRELA DO NORTE - SP, 19230-000",0,,1839991222,-22.484312280499836, -51.6610790043217,0
UBS III (PRONTO ATENDIMENTO MUNICIPAL),GVE 22 PRESIDENTE VENCESLAU,EUCLIDES DA CUNHA PAULISTA,"RUA HELENA KILL DINIZ, Nº 1.621 – CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3283-1277,-22.495112051374647,-52.593956041890245,1
SANTA CASA DE MISERICÓRDIA,GVE 16 BOTUCATU,FARTURA,"PRAÇA DR JOSÉ SEBASTIÃO DE OLIVEIRA, Nº 44",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(14) 3382-1100,-23.392746760585293,-49.511962071164135,1
UNIDADE MISTA DE FERNANDO PRESTES,GVE 29 SAO JOSE DO RIO PRETO,FERNANDO PRESTES,"RUA CLÉLIA MACHADO DE FREITAS, 320 - FERNANDO PRESTES - SP, 15940-000",0,,-,-21.271970033959704,-48.6884600043582,1
SANTA CASA DE MISERICÓRDIA - FERNANDÓPOLIS,GVE 30 JALES,FERNANDOPOLIS,AV. AFONSO CÁFARO 2630 JD. SANTISTA,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(17) 3465-6122,-20.295090522700722,-50.247025550416296,1
UNIDADE DE SAUDE DA FAMILIA DE FERNAO,GVE 19 MARILIA,FERNAO,"RUA JOSÉ BONIFÁCIO, 174 - FERNÃO - SP, 17455-000",0,,1432737176,-22.358463634287997,-49.51915431966886,0
HOSPITAL DR. OSÍRIS FLORINDO COELHO,GVE 8 MOGI DAS CRUZES,FERRAZ DE VASCONCELOS,"R. PRINCESA ISABEL, 270 - VILA CORREA",1,ESCORPIÔNICO,(11) 4675-3444,-23.538096053582844,-46.35850664661659,1
UBS III DE FLORA RICA,GVE 22 PRESIDENTE VENCESLAU,FLORA RICA,"PREFEITO OCTACIANO PEREIRA DE ANDRADE, 66 - FLORA RICA - SP, 17870-000",0,,1838661120,-21.676658247867884,-51.38073287736122,0
CS DE FLOREAL,GVE 29 SAO JOSE DO RIO PRETO,FLOREAL,"RUA FERRÚCIO ZANOVELO, 436 - FLOREAL - SP, 15320-000",0,,1738471173,-20.679886267436373,-50.14613640807707,0
SANTA CASA DE MISERICORDIA DE FLORIDA PAULISTA,GVE 19 MARILIA,FLORIDA PAULISTA,"Av. XV de Novembro, 900 - Centro, Flórida Paulista - SP, 17830-000",0,,(18) 3581-1294,-21.620040677506946,-51.17095510249668,0
CENTRO DE SAUDE DE FLORINEA,GVE 13 ASSIS,FLORINEA,"AVENIDA ADÃO LEME BATISTA, 728 - FLORÍNEA - SP, 19870-001",0,,1833770622,-22.90413317535943, -50.72966726965201,1
SANTA CASA DE MISERICÓRDIA - FRANCA,GVE 18 FRANCA,FRANCA,"PRAÇA DOM PEDRO II, 1826",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, LAQUÉTICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(16) 3711-4000,-20.537801911814178,-47.39881554670762,0
HOSPITAL ESTADUAL “PROFº CARLOS DA SILVA LACAZ” - CRIANÇAS,GVE 9 FRANCO DA ROCHA,FRANCISCO MORATO,"RODOVIA MANOEL SILVÉRIO PINTO, 125 – BELÉM ESTAÇÃO - FRANCISCO MORATO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4489-9444,-23.28350437750075,-46.747520017789086,1
HOSPITAL ESTADUAL DR.ALBANO DA FRANCA ROCHA SOBRINHO - ADULTO,GVE 9 FRANCO DA ROCHA,FRANCO DA ROCHA,AV.COQUEIROS S/N,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(11) 3336-8200,-23.339068208859803,-46.73014354662302,1
UBS III DE GABRIEL MONTEIRO,GVE 11 ARACATUBA,GABRIEL MONTEIRO,"RUA DOS FUNDADORES, 173 - GABRIEL MONTEIRO - SP, 16220-000",0,,1836021220,-21.531.303.636.384.200,-50.55524290435044,0
HOSPITAL SAO VICENTE DE GALIA,GVE 19 MARILIA,GALIA,"R. Décio Silvério, 321 - Centro, Gália - SP, 17450-000",0,,(14) 3274-1280,-22.29021013746139,-49.551020075491714,1
SANTA CASA DE GARCA HOSPITAL SAO LUCAS HSL,GVE 19 MARILIA,GARCA,"R. Dr. Orlando Thiago dos Santos, 50 - Williams, Garça - SP, 17402-064",0,,(14) 3407-5066,-22.20713145372826,-49.64965056200188,1
UNIDADE BASICA DE SAUDE DR DELFIM ROSA,GVE 29 SAO JOSE DO RIO PRETO,GASTAO VIDIGAL,"RUA VINTE E UM DE ABRIL, 617 - CENTRO, GASTÃO VIDIGAL - SP, 15330-000",0,,1738481158,-20.796854474284817,-50.18850296019263,0
PRONTO SOCORRO MUNICIPAL ESPECIALIZADO AUGUSTO GUBERNATTI,GVE 12 ARARAQUARA,GAVIAO PEIXOTO,"R. Maracanã, 700, Gavião Peixoto - SP, 14813-000",0,,1633388755,-21.79933969669793,-48.454028676441965,1
SANTA CASA DE GENERAL SALGADO,GVE 29 SAO JOSE DO RIO PRETO,GENERAL SALGADO,"R. NADIR GARCIA, 555 - JARDIM PRIMAVERA, GEN. SALGADO - SP, 15300-000",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(17) 3322-1198,-20.647769087472003,-50.35809043506297,1
IRMANDADE DA SANTA CASA DE MISERICORDIA GETULINA,GVE 15 BAURU,GETULINA,"Rua Natal Biongo Mengato 56 - Residencial dos Oliveiras, Getulina - SP, 16450-000",0,,(14) 3552-1616,-21.802298474740464,-49.93167700434244,1
CENTRO DE SAUDE III GLICERIO JULIO FUJIHARA,GVE 11 ARACATUBA,GLICERIO,"R. Tiradentes, 161 - Res. Monte Libano, Glicério - SP, 16280-000",0,,1836471264,-21.20344590533689,-50.17502066018845,0
CS III MARTINIANO CRUZ DE GUAICARA,GVE 15 BAURU,GUAICARA,"R. Oswaldo Cruz, 269, Guaiçara - SP, 16430-053",0,,1435471250,-21.622057758488754,-49.79995484852695,0
PRONTO ATENDIMENTO DE GUAIMBE,GVE 19 MARILIA,GUAIMBE,"R. Rui Barbosa, 195 - Guaimbê, SP, 16480-000",0,,1435531190,-21.911295817792585, -49.89849620757391,1
SANTA CASA DE MISERICÓRDIA DE GUAÍRA,GVE 14 BARRETOS,GUAIRA,RUA 24 Nº 872,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3332-7000,-20.325612543898703,-48.31846490438521,1
PRONTO ATENDIMENTO DR JOSE OSMAR SEGURA LOPES,GVE 29 SAO JOSE DO RIO PRETO,GUAPIACU,"R. Quinze de Novembro, 358 - CENTRO, Guapiaçu - SP, 15110-000",0,,1732679210,-20.79702357673106,-49.22066114855115,1
CENTRO DE ATENDIMENTO JOAQUIM RAIMUNDO GOMES,GVE 32 ITAPEVA,GUAPIARA,"AV. JACOBE RODOLFO, 229, GUAPIARA - SP, 18310-000",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, FONÊUTRICO, ARACNÍDICO E LONÔMICO.",(15) 3547-1270,-24.18451806070749,-48.52895830426732,1
SANTA CASA DE GUARA,GVE 18 FRANCA,GUARA,"R. José Calazans, 40 - Vila Vitória, Guará - SP, 14580-000",0,,(16) 3831-3450,-20.427175197812744,-47.819325962054144,1
HOSPITAL MATERNIDADE DE GUARÇAÍ,GVE 11 ARACATUBA,GUARACAÍ,"RUA BENEDITO BEM-HUR LOUZADA, 1210",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3705-1279,-21.033897913209234,-51.20619790436498,1
HOSPITAL MUNICIPAL OSCAR BAPTISTA CARVALHO,GVE 14 BARRETOS,GUARACI,"R. Benedito Ben Hur Louzada, 1210, Guaraçaí - SP, 16980-000",0,,1837051279,-21.033777745704924,-51.206176446693284,1
